Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
Homewood West,43,731.0,145.660564327,392.0,124.233650836,392.0,124.233650836,316.0,102.415819091,76.0,58.463663929,0.0,14.1421356237,339.0,93.5093578205
Knoxville,44,2945.0,448.953226962,2006.0,392.295806759,2006.0,392.295806759,1743.0,369.724221549,263.0,147.858040024,0.0,24.4948974278,939.0,208.403454867
Larimer,45,1227.0,232.699376879,536.0,122.139264776,536.0,122.139264776,348.0,76.8960337079,188.0,99.0959131347,0.0,20.0,691.0,190.152570322
Lincoln Place,46,2921.0,433.564297423,1846.0,324.548917731,1846.0,324.548917731,1653.0,310.926036221,193.0,80.6845710158,0.0,22.360679775,1075.0,193.124312296
Lincoln-Lemington-Belmar,47,4045.0,490.160177901,2140.0,367.24378824,2140.0,367.24378824,1694.0,337.447773737,446.0,170.276246141,0.0,24.4948974278,1905.0,276.302370601
Lower Lawrenceville,48,2225.0,268.106322193,1642.0,245.153013443,1642.0,245.153013443,1472.0,235.478236786,170.0,76.6615940351,0.0,14.1421356237,583.0,137.306227098
Manchester,49,1578.0,230.488611432,972.0,200.062490237,972.0,200.062490237,892.0,193.829822267,80.0,44.1021541424,0.0,14.1421356237,606.0,116.107708616
Marshall-Shadeland,50,5687.0,1325.69943803,2032.0,302.600396563,2032.0,302.600396563,1777.0,266.362534902,255.0,113.092882181,0.0,22.360679775,3655.0,1282.30924507
Middle Hill,51,1537.0,251.567088467,781.0,190.457344306,781.0,190.457344306,640.0,175.014285131,141.0,60.2992537268,0.0,17.3205080757,756.0,167.059869508
Morningside,52,2809.0,331.852376819,1881.0,259.88458977,1881.0,259.88458977,1798.0,247.238751009,83.0,62.4019230474,0.0,20.0,928.0,171.084774308
Mount Oliver Borough,53,2465.0,365.756749767,1509.0,260.459209858,1509.0,260.459209858,1214.0,221.972971327,295.0,126.003968191,0.0,20.0,956.0,213.0
Mount Washington,54,7838.0,538.527622319,5422.0,466.387178212,5422.0,466.387178212,4973.0,465.349331148,449.0,127.534309109,0.0,29.9999999999,2416.0,270.203626919
Mt. Oliver,55,428,86,297,67,297,67,277,68,20,19,0,10,131,69
New Homestead,56,781,72,482,66,482,66,465,63,17,15,0,10,299,58
North Oakland,57,9510.0,611.805524656,3872.0,425.187017676,3858.0,423.649619379,3291.0,376.277822892,567.0,196.068865453,14.0,32.0780298647,5638.0,452.949224527
North Shore,58,179.0,49.0306026885,165.0,50.0099990002,165.0,50.0099990002,165.0,50.0099990002,0.0,14.1421356237,0.0,14.1421356237,14.0,18.0277563773
Northview Heights,59,828,151,420,95,420,95,232,59,188,84,0,10,408,95
Oakwood,60,944,115,559,109,559,109,546,107,13,13,0,10,385,73
Overbrook,61,3175.0,316.676491076,1945.0,242.024792119,1945.0,242.024792119,1807.0,223.051563545,138.0,65.2533524043,0.0,22.360679775,1230.0,183.188427582
Perry North,62,3296.0,336.581342323,2321.0,268.877295435,2321.0,268.877295435,2021.0,218.90637268,300.0,112.01785572,0.0,24.4948974278,975.0,173.729675071
Perry South,63,2675.0,306.762122825,1412.0,234.145254062,1412.0,234.145254062,1175.0,211.305466091,237.0,98.8584847142,0.0,24.4948974278,1263.0,228.67881406
Point Breeze,64,4538.0,314.047767067,3325.0,262.950565697,3325.0,262.950565697,3226.0,258.580741743,99.0,48.1352261863,0.0,26.4575131106,1213.0,182.898879165
Point Breeze North,65,1656.0,248.122953392,1212.0,213.717102732,1212.0,213.717102732,1069.0,185.994623578,143.0,121.206435473,0.0,17.3205080757,444.0,136.696744658
Polish Hill,66,1338.0,200.122462507,1002.0,197.294196569,1002.0,197.294196569,934.0,186.761880479,68.0,48.754486973,0.0,14.1421356237,336.0,70.8378429937
Regent Square,67,832,51,602,53,602,53,564,61,38,26,0,10,230,43
Ridgemont,68,253,85,176,65,176,65,176,65,0,10,0,10,77,48
Shadyside,69,12576.0,808.106428634,8663.0,725.174461767,8652.0,725.554960013,8223.0,661.319136272,429.0,148.189068423,11.0,39.862262856,3913.0,451.728901002
Sheraden,70,3941.0,413.154934619,2604.0,333.147114651,2604.0,333.147114651,2190.0,298.22139427,414.0,143.944433723,0.0,24.4948974278,1337.0,224.211953295
South Oakland,71,2821.0,465.038708066,1626.0,345.483718864,1626.0,345.483718864,1438.0,330.12270446,188.0,114.564392374,0.0,20.0,1195.0,336.530830682
South Shore,72,12,14,12,14,12,14,12,14,0,10,0,10,0,10
South Side Flats,73,6560.0,842.073037212,4679.0,591.877521114,4658.0,592.163828683,4396.0,575.537140418,262.0,115.459949766,21.0,30.7408522979,1881.0,458.833303063
South Side Slopes,74,4266.0,548.539880045,2837.0,395.445318597,2837.0,395.445318597,2679.0,385.227205685,158.0,78.5175139698,0.0,26.4575131106,1429.0,270.414496653
Spring Garden,75,675.0,124.535135604,445.0,94.752308679,439.0,97.6217188949,414.0,94.847245611,25.0,21.9544984001,6.0,15.6204993518,230.0,83.2406150866
Spring Hill-City View,76,1816.0,267.561207951,993.0,201.218786399,993.0,201.218786399,886.0,191.567220578,107.0,66.9925368978,0.0,17.3205080757,823.0,190.065778087
Squirrel Hill North,77,10265.0,635.79005969,5838.0,474.109691949,5838.0,474.109691949,5537.0,459.685762234,301.0,99.357938787,0.0,31.6227766016,4427.0,406.019703956
Squirrel Hill South,78,13180.0,760.024999588,8277.0,629.969840548,8262.0,628.774999503,7965.0,608.066608193,297.0,117.3413823,15.0,42.1426150114,4903.0,506.625107945
St. Clair,79,206,60,110,41,110,41,106,41,4,6,0,10,96,50
Stanton Heights,80,4209.0,376.946945869,2747.0,325.259896083,2747.0,325.259896083,2492.0,305.715554069,255.0,136.033084211,0.0,20.0,1462.0,205.253501797
Strip District,81,658,96,591,95,591,95,586,94,5,9,0,10,67,39
Summer Hill,82,964,66,697,72,697,72,640,70,57,29,0,10,267,57
Swisshelm Park,83,1050,90,704,91,704,91,656,91,48,34,0,10,346,67
Terrace Village,84,2137.0,367.906238055,932.0,181.011049387,932.0,181.011049387,748.0,172.942186872,184.0,69.6347614342,0.0,17.3205080757,1205.0,358.04189699
Troy Hill,85,2088.0,296.809703345,1396.0,221.359436212,1396.0,221.359436212,1283.0,216.363120702,113.0,69.89277502,0.0,14.1421356237,692.0,158.700976683
Upper Hill,86,1712.0,252.287534373,875.0,168.991124027,875.0,168.991124027,669.0,172.13366899,206.0,87.2582374335,0.0,17.3205080757,837.0,181.642506038
Upper Lawrenceville,87,2359.0,340.224925601,1637.0,298.095622242,1637.0,298.095622242,1518.0,265.427956327,119.0,73.4846922835,0.0,17.3205080757,722.0,224.559568934
West End,88,275,141,200,106,200,106,186,108,14,18,0,10,75,59
West Oakland,89,1544.0,375.755239484,793.0,222.463480149,793.0,222.463480149,656.0,203.273215156,137.0,74.9466476902,0.0,14.1421356237,751.0,266.046988331
Westwood,90,2961.0,263.486242525,1949.0,215.2324325,1926.0,219.111843587,1798.0,221.77466041,128.0,59.076221951,23.0,26.9258240357,1012.0,149.566038926
Windgap,91,1250.0,228.019735988,790.0,170.182255244,790.0,170.182255244,695.0,158.142340946,95.0,77.6208734813,0.0,14.1421356237,460.0,131.74596768
